fold,ticker,common_score,common_label,selection_reason,selected,rank,agent,agent_score,agent_label,has_explainer,explanation_text,favor_factors,contra_factors,top_drivers_json
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,fundamental,0.5803,Outperform,False,ORLY — Score: 0.58 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,valuation,0.4954,Underperform,False,ORLY — Score: 0.50 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,momentum,0.5096,Outperform,False,ORLY — Score: 0.51 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,bear,0.4943,Underperform,False,ORLY — Score: 0.49 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,sector_rotation,0.7706,Outperform,False,ORLY — Score: 0.77 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,ORLY,0.8588,Outperform,selected_above_threshold,True,2,meta_learner,0.8588,Outperform,False,ORLY — Score: 0.86 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.16) - Liquidity risk (current_ratio=0.76) + Revenue growth (revenue_yoy_growth=0.14),"Margen neto positivo=0.164, Crecimiento de ingresos=0.144, Balance neto insider positivo=0.190",Riesgo de liquidez=0.762,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1639797251314508, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.7616688431611716, ""direction"": ""negative""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.1436178456012726, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.18950879320800484, ""direction"": ""positive""}]"
2022Q1,NFLX,0.8295,Outperform,selected_above_threshold,True,8,fundamental,0.4634,Underperform,False,NFLX — Score: 0.46 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.30) - Liquidity risk (current_ratio=0.95),"Margen neto positivo=0.298, MSPR positivo=62.398",Riesgo de liquidez=0.951,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2979444908142926, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.950625199818211, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 62.39817566666667, ""direction"": ""positive""}]"
2022Q1,NFLX,0.8295,Outperform,selected_above_threshold,True,8,valuation,0.5098,Outperform,False,NFLX — Score: 0.51 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.30) - Liquidity risk (current_ratio=0.95),"Margen neto positivo=0.298, MSPR positivo=62.398",Riesgo de liquidez=0.951,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2979444908142926, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.950625199818211, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 62.39817566666667, ""direction"": ""positive""}]"
2022Q1,NFLX,0.8295,Outperform,selected_above_threshold,True,8,momentum,0.6001,Outperform,False,NFLX — Score: 0.60 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.30) - Liquidity risk (current_ratio=0.95),"Margen neto positivo=0.298, MSPR positivo=62.398",Riesgo de liquidez=0.951,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2979444908142926, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.950625199818211, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 62.39817566666667, ""direction"": ""positive""}]"
2022Q1,NFLX,0.8295,Outperform,selected_above_threshold,True,8,bear,0.497,Underperform,False,NFLX — Score: 0.50 (Underperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.30) - Liquidity risk (current_ratio=0.95),"Margen neto positivo=0.298, MSPR positivo=62.398",Riesgo de liquidez=0.951,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2979444908142926, ""direction"": ""positive""}, {""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.950625199818211, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 62.39817566666667, ""direction"": ""positive""}]"
